,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked_Q,Embarked_S
48,940,1,1,1,60.0,0,0,48,76.2917,0,0
49,941,1,3,1,36.0,0,2,49,15.9,0,1
50,942,0,1,0,24.0,1,0,50,60.0,0,1
51,943,0,2,0,27.0,0,0,51,15.0333,0,0
52,944,1,2,1,20.0,2,1,52,23.0,0,1
53,945,1,1,1,28.0,3,2,53,263.0,0,1
54,946,0,2,0,27.0,0,0,54,15.5792,0,0
55,947,0,3,0,10.0,4,1,55,29.125,1,0
56,948,0,3,0,35.0,0,0,56,7.8958,0,1
57,949,0,3,0,25.0,0,0,57,7.65,0,1
58,950,0,3,0,27.0,1,0,58,16.1,0,1
59,951,1,1,1,36.0,0,0,24,262.375,0,0
60,952,0,3,0,17.0,0,0,59,7.8958,0,1
61,953,0,2,0,32.0,0,0,60,13.5,0,1
62,954,0,3,0,18.0,0,0,61,7.75,0,1
63,955,1,3,1,22.0,0,0,62,7.725,1,0
64,956,0,1,0,13.0,2,2,24,262.375,0,0
65,957,1,2,1,27.0,0,0,63,21.0,0,1
66,958,1,3,1,18.0,0,0,64,7.8792,1,0
67,959,0,1,0,47.0,0,0,65,42.4,0,1
68,960,0,1,0,31.0,0,0,66,28.5375,0,0
69,961,1,1,1,60.0,1,4,53,263.0,0,1
70,962,1,3,1,24.0,0,0,67,7.75,1,0
71,963,0,3,0,21.0,0,0,68,7.8958,0,1
72,964,1,3,1,29.0,0,0,69,7.925,0,1
73,965,0,1,0,28.5,0,0,70,27.7208,0,0
74,966,1,1,1,35.0,0,0,71,211.5,0,0
75,967,0,1,0,32.5,0,0,71,211.5,0,0
76,968,0,3,0,27.0,0,0,72,8.05,0,1
77,969,1,1,1,55.0,2,0,73,25.7,0,1
78,970,0,2,0,30.0,0,0,74,13.0,0,1
79,971,1,3,1,24.0,0,0,75,7.75,1,0
80,972,0,3,0,6.0,1,1,76,15.2458,0,0
81,973,0,1,0,67.0,1,0,77,221.7792,0,1
82,974,0,1,0,49.0,0,0,78,26.0,0,1
83,975,0,3,0,27.0,0,0,79,7.8958,0,1
84,976,0,2,0,27.0,0,0,80,10.7083,1,0
85,977,0,3,0,27.0,1,0,81,14.4542,0,0
86,978,1,3,1,27.0,0,0,82,7.8792,1,0
87,979,1,3,1,18.0,0,0,83,8.05,0,1
88,980,1,3,1,27.0,0,0,84,7.75,1,0
89,981,0,2,0,2.0,1,1,85,23.0,0,1
90,982,1,3,1,22.0,1,0,86,13.9,0,1
91,983,0,3,0,27.0,0,0,87,7.775,0,1
92,984,1,1,1,27.0,1,2,88,52.0,0,1
93,985,0,3,0,27.0,0,0,89,8.05,0,1
94,986,0,1,0,25.0,0,0,90,26.0,0,0
95,987,0,3,0,25.0,0,0,91,7.7958,0,1
96,988,1,1,1,76.0,1,0,92,78.85,0,1
97,989,0,3,0,29.0,0,0,93,7.925,0,1
98,990,1,3,1,20.0,0,0,94,7.8542,0,1
99,991,0,3,0,33.0,0,0,95,8.05,0,1
100,992,1,1,1,43.0,1,0,96,55.4417,0,0
101,993,0,2,0,27.0,1,0,97,26.0,0,1
102,994,0,3,0,27.0,0,0,98,7.75,1,0
103,995,0,3,0,26.0,0,0,99,7.775,0,1
104,996,1,3,1,16.0,1,1,100,8.5167,0,0
105,997,0,3,0,28.0,0,0,101,22.525,0,1
106,998,0,3,0,21.0,0,0,102,7.8208,1,0
107,999,0,3,0,27.0,0,0,103,7.75,1,0
108,1000,0,3,0,27.0,0,0,104,8.7125,0,1
109,1001,0,2,0,18.5,0,0,105,13.0,0,1
110,1002,0,2,0,41.0,0,0,106,15.0458,0,0
111,1003,1,3,1,27.0,0,0,107,7.7792,1,0
112,1004,1,1,1,36.0,0,0,108,31.6792,0,0
113,1005,1,3,1,18.5,0,0,109,7.2833,1,0
114,1006,1,1,1,63.0,1,0,77,221.7792,0,1
115,1007,0,3,0,18.0,1,0,110,14.4542,0,0
116,1008,0,3,0,27.0,0,0,111,6.4375,0,0
117,1009,1,3,1,1.0,1,1,112,16.7,0,1
118,1010,0,1,0,36.0,0,0,113,75.2417,0,0
119,1011,1,2,1,29.0,1,0,114,26.0,0,1
120,1012,1,2,1,12.0,0,0,115,15.75,0,1
121,1013,0,3,0,27.0,1,0,116,7.75,1,0
122,1014,1,1,1,35.0,1,0,34,57.75,0,0
123,1015,0,3,0,28.0,0,0,117,7.25,0,1
124,1016,0,3,0,27.0,0,0,118,7.75,1,0
125,1017,1,3,1,17.0,0,1,119,16.1,0,1
126,1018,0,3,0,22.0,0,0,120,7.7958,0,1
127,1019,1,3,1,27.0,2,0,121,23.25,1,0
128,1020,0,2,0,42.0,0,0,122,13.0,0,1
129,1021,0,3,0,24.0,0,0,123,8.05,0,1
130,1022,0,3,0,32.0,0,0,124,8.05,0,1
131,1023,0,1,0,53.0,0,0,125,28.5,0,0
132,1024,1,3,1,27.0,0,4,126,25.4667,0,1
133,1025,0,3,0,27.0,1,0,127,6.4375,0,0
134,1026,0,3,0,43.0,0,0,128,7.8958,0,1
135,1027,0,3,0,24.0,0,0,129,7.8542,0,1
136,1028,0,3,0,26.5,0,0,130,7.225,0,0
137,1029,0,2,0,26.0,0,0,131,13.0,0,1
138,1030,1,3,1,23.0,0,0,132,8.05,0,1
139,1031,0,3,0,40.0,1,6,133,46.9,0,1
140,1032,1,3,1,10.0,5,2,133,46.9,0,1
141,1033,1,1,1,33.0,0,0,134,151.55,0,1
142,1034,0,1,0,61.0,1,3,24,262.375,0,0
143,1035,0,2,0,28.0,0,0,135,26.0,0,1
144,1036,0,1,0,42.0,0,0,136,26.55,0,1
145,1037,0,3,0,31.0,3,0,137,18.0,0,1
146,1038,0,1,0,27.0,0,0,138,51.8625,0,1
147,1039,0,3,0,22.0,0,0,139,8.05,0,1
148,1040,0,1,0,27.0,0,0,140,26.55,0,1
149,1041,0,2,0,30.0,1,1,141,26.0,0,1
150,1042,1,1,1,23.0,0,1,142,83.1583,0,0
151,1043,0,3,0,27.0,0,0,143,7.8958,0,0
152,1044,0,3,0,60.5,0,0,144,35.627188489208635,0,1
153,1045,1,3,1,36.0,0,2,145,12.1833,0,1
154,1046,0,3,0,13.0,4,2,146,31.3875,0,1
155,1047,0,3,0,24.0,0,0,147,7.55,0,1
156,1048,1,1,1,29.0,0,0,77,221.7792,0,1
157,1049,1,3,1,23.0,0,0,148,7.8542,0,1
158,1050,0,1,0,42.0,0,0,149,26.55,0,1
159,1051,1,3,1,26.0,0,2,150,13.775,0,1
160,1052,1,3,1,27.0,0,0,151,7.7333,1,0
161,1053,0,3,0,7.0,1,1,152,15.2458,0,0
162,1054,1,2,1,26.0,0,0,153,13.5,0,1
163,1055,0,3,0,27.0,0,0,154,7.0,0,1
164,1056,0,2,0,41.0,0,0,155,13.0,0,1
165,1057,1,3,1,26.0,1,1,156,22.025,0,1
166,1058,0,1,0,48.0,0,0,157,50.4958,0,0
167,1059,0,3,0,18.0,2,2,158,34.375,0,1
168,1060,1,1,1,27.0,0,0,159,27.7208,0,0
169,1061,1,3,1,22.0,0,0,160,8.9625,0,1
170,1062,0,3,0,27.0,0,0,161,7.55,0,1
171,1063,0,3,0,27.0,0,0,162,7.225,0,0
172,1064,0,3,0,23.0,1,0,86,13.9,0,1
173,1065,0,3,0,27.0,0,0,163,7.2292,0,0
174,1066,0,3,0,40.0,1,5,146,31.3875,0,1
175,1067,1,2,1,15.0,0,2,164,39.0,0,1
176,1068,1,2,1,20.0,0,0,165,36.75,0,1
177,1069,0,1,0,54.0,1,0,96,55.4417,0,0
178,1070,1,2,1,36.0,0,3,166,39.0,0,1
179,1071,1,1,1,64.0,0,2,167,83.1583,0,0
180,1072,0,2,0,30.0,0,0,168,13.0,0,1
181,1073,0,1,0,37.0,1,1,167,83.1583,0,0
182,1074,1,1,1,18.0,1,0,169,53.1,0,1
183,1075,0,3,0,27.0,0,0,170,7.75,1,0
184,1076,1,1,1,27.0,1,1,171,247.5208,0,0
185,1077,0,2,0,40.0,0,0,172,16.0,0,1
186,1078,1,2,1,21.0,0,1,173,21.0,0,1
187,1079,0,3,0,17.0,2,0,174,8.05,0,1
188,1080,1,3,1,27.0,8,2,175,69.55,0,1
189,1081,0,2,0,40.0,0,0,176,13.0,0,1
190,1082,0,2,0,34.0,1,0,177,26.0,0,1
191,1083,0,1,0,27.0,0,0,178,26.0,0,1
192,1084,0,3,0,11.5,1,1,179,14.5,0,1
193,1085,0,2,0,61.0,0,0,180,12.35,1,0
194,1086,0,2,0,8.0,0,2,181,32.5,0,1
195,1087,0,3,0,33.0,0,0,182,7.8542,0,1
196,1088,0,1,0,6.0,0,2,183,134.5,0,0
197,1089,1,3,1,18.0,0,0,184,7.775,0,1
198,1090,0,2,0,23.0,0,0,185,10.5,0,1
199,1091,1,3,1,27.0,0,0,186,8.1125,0,1
200,1092,1,3,1,27.0,0,0,187,15.5,1,0
201,1093,0,3,0,0.33,0,2,188,14.4,0,1
202,1094,0,1,0,47.0,1,0,189,227.525,0,0
203,1095,1,2,1,8.0,1,1,190,26.0,0,1
204,1096,0,2,0,25.0,0,0,191,10.5,0,1
205,1097,0,1,0,27.0,0,0,192,25.7417,0,0
206,1098,1,3,1,35.0,0,0,193,7.75,1,0
207,1099,0,2,0,24.0,0,0,194,10.5,0,1
208,1100,1,1,1,33.0,0,0,195,27.7208,0,0
209,1101,0,3,0,25.0,0,0,196,7.8958,0,1
210,1102,0,3,0,32.0,0,0,101,22.525,0,1
211,1103,0,3,0,27.0,0,0,197,7.05,0,1
212,1104,0,2,0,17.0,0,0,198,73.5,0,1
213,1105,1,2,1,60.0,1,0,13,26.0,0,1
214,1106,1,3,1,38.0,4,2,199,7.775,0,1
215,1107,0,1,0,42.0,0,0,200,42.5,0,1
216,1108,1,3,1,27.0,0,0,201,7.8792,1,0
217,1109,0,1,0,57.0,1,1,202,164.8667,0,1
218,1110,1,1,1,50.0,1,1,71,211.5,0,0
219,1111,0,3,0,27.0,0,0,203,8.05,0,1
220,1112,1,2,1,30.0,1,0,204,13.8583,0,0
221,1113,0,3,0,21.0,0,0,205,8.05,0,1
222,1114,1,2,1,22.0,0,0,206,10.5,0,1
223,1115,0,3,0,21.0,0,0,207,7.7958,0,1
224,1116,1,1,1,53.0,0,0,208,27.4458,0,0
225,1117,1,3,1,27.0,0,2,209,15.2458,0,0
226,1118,0,3,0,23.0,0,0,210,7.7958,0,1
227,1119,1,3,1,27.0,0,0,211,7.75,1,0
228,1120,0,3,0,40.5,0,0,212,15.1,0,1
229,1121,0,2,0,36.0,0,0,213,13.0,0,1
230,1122,0,2,0,14.0,0,0,214,65.0,0,1
231,1123,1,1,1,21.0,0,0,215,26.55,0,1
232,1124,0,3,0,21.0,1,0,216,6.4958,0,1
233,1125,0,3,0,27.0,0,0,217,7.8792,1,0
234,1126,0,1,0,39.0,1,0,218,71.2833,0,0
235,1127,0,3,0,20.0,0,0,219,7.8542,0,1
236,1128,0,1,0,64.0,1,0,220,75.25,0,0
237,1129,0,3,0,20.0,0,0,221,7.225,0,0
238,1130,1,2,1,18.0,1,1,222,13.0,0,1
239,1131,1,1,1,48.0,1,0,223,106.425,0,0
240,1132,1,1,1,55.0,0,0,224,27.7208,0,0
241,1133,1,2,1,45.0,0,2,225,30.0,0,1
242,1134,0,1,0,45.0,1,1,183,134.5,0,0
243,1135,0,3,0,27.0,0,0,226,7.8875,0,1
244,1136,0,3,0,27.0,1,2,33,23.45,0,1
245,1137,0,1,0,41.0,1,0,227,51.8625,0,1
246,1138,1,2,1,22.0,0,0,63,21.0,0,1
247,1139,0,2,0,42.0,1,1,181,32.5,0,1
248,1140,1,2,1,29.0,1,0,228,26.0,0,1
249,1141,1,3,1,27.0,1,0,81,14.4542,0,0
250,1142,1,2,1,0.92,1,2,229,27.75,0,1
251,1143,0,3,0,20.0,0,0,230,7.925,0,1
252,1144,0,1,0,27.0,1,0,231,136.7792,0,0
253,1145,0,3,0,24.0,0,0,232,9.325,0,1
254,1146,0,3,0,32.5,0,0,233,9.5,0,1
255,1147,0,3,0,27.0,0,0,234,7.55,0,1
256,1148,0,3,0,27.0,0,0,235,7.75,1,0
257,1149,0,3,0,28.0,0,0,236,8.05,0,1
258,1150,1,2,1,19.0,0,0,237,13.0,0,1
259,1151,0,3,0,21.0,0,0,238,7.775,0,1
260,1152,0,3,0,36.5,1,0,239,17.4,0,1
261,1153,0,3,0,21.0,0,0,240,7.8542,0,1
262,1154,1,2,1,29.0,0,2,85,23.0,0,1
263,1155,1,3,1,1.0,1,1,145,12.1833,0,1
264,1156,0,2,0,30.0,0,0,241,12.7375,0,0
265,1157,0,3,0,27.0,0,0,242,7.8958,0,1
266,1158,0,1,0,27.0,0,0,243,0.0,0,1
267,1159,0,3,0,27.0,0,0,244,7.55,0,1
268,1160,1,3,1,27.0,0,0,245,8.05,0,1
269,1161,0,3,0,17.0,0,0,246,8.6625,0,1
270,1162,0,1,0,46.0,0,0,113,75.2417,0,0
271,1163,0,3,0,27.0,0,0,247,7.75,1,0
272,1164,1,1,1,26.0,1,0,231,136.7792,0,0
273,1165,1,3,1,27.0,1,0,248,15.5,1,0
274,1166,0,3,0,27.0,0,0,249,7.225,0,0
275,1167,1,2,1,20.0,1,0,250,26.0,0,1
276,1168,0,2,0,28.0,0,0,251,10.5,0,1
277,1169,0,2,0,40.0,1,0,252,26.0,0,1
278,1170,0,2,0,30.0,1,0,253,21.0,0,1
279,1171,0,2,0,22.0,0,0,254,10.5,0,1
280,1172,1,3,1,23.0,0,0,255,8.6625,0,1
281,1173,0,3,0,0.75,1,1,150,13.775,0,1
282,1174,1,3,1,27.0,0,0,256,7.75,1,0
283,1175,1,3,1,9.0,1,1,152,15.2458,0,0
284,1176,1,3,1,2.0,1,1,257,20.2125,0,1
285,1177,0,3,0,36.0,0,0,258,7.25,0,1
286,1178,0,3,0,27.0,0,0,259,7.25,0,1
287,1179,0,1,0,24.0,1,0,12,82.2667,0,1
288,1180,0,3,0,27.0,0,0,260,7.2292,0,0
289,1181,0,3,0,27.0,0,0,261,8.05,0,1
290,1182,0,1,0,27.0,0,0,262,39.6,0,1
291,1183,1,3,1,30.0,0,0,263,6.95,1,0
292,1184,0,3,0,27.0,0,0,264,7.2292,0,0
293,1185,0,1,0,53.0,1,1,265,81.8583,0,1
294,1186,0,3,0,36.0,0,0,266,9.5,0,1
295,1187,0,3,0,26.0,0,0,267,7.8958,0,1
296,1188,1,2,1,1.0,1,2,268,41.5792,0,0
297,1189,0,3,0,27.0,2,0,29,21.6792,0,0
298,1190,0,1,0,30.0,0,0,269,45.5,0,1
299,1191,0,3,0,29.0,0,0,270,7.8542,0,1
300,1192,0,3,0,32.0,0,0,271,7.775,0,1
301,1193,0,2,0,27.0,0,0,272,15.0458,0,0
302,1194,0,2,0,43.0,0,1,173,21.0,0,1
303,1195,0,3,0,24.0,0,0,273,8.6625,0,1
304,1196,1,3,1,27.0,0,0,274,7.75,1,0
305,1197,1,1,1,64.0,1,1,275,26.55,0,1
306,1198,0,1,0,30.0,1,2,134,151.55,0,1
307,1199,0,3,0,0.83,0,1,276,9.35,0,1
308,1200,0,1,0,55.0,1,1,277,93.5,0,1
309,1201,1,3,1,45.0,1,0,278,14.1083,0,1
310,1202,0,3,0,18.0,0,0,279,8.6625,0,1
311,1203,0,3,0,22.0,0,0,280,7.225,0,0
312,1204,0,3,0,27.0,0,0,281,7.575,0,1
313,1205,1,3,1,37.0,0,0,282,7.75,1,0
314,1206,1,1,1,55.0,0,0,283,135.6333,0,0
315,1207,1,3,1,17.0,0,0,284,7.7333,1,0
316,1208,0,1,0,57.0,1,0,285,146.5208,0,0
317,1209,0,2,0,19.0,0,0,286,10.5,0,1
318,1210,0,3,0,27.0,0,0,287,7.8542,0,1
319,1211,0,2,0,22.0,2,0,31,31.5,0,1
320,1212,0,3,0,26.0,0,0,288,7.775,0,1
321,1213,0,3,0,25.0,0,0,289,7.2292,0,0
322,1214,0,2,0,26.0,0,0,290,13.0,0,1
323,1215,0,1,0,33.0,0,0,291,26.55,0,1
324,1216,1,1,1,39.0,0,0,292,211.3375,0,1
325,1217,0,3,0,23.0,0,0,293,7.05,0,1
326,1218,1,2,1,12.0,2,1,166,39.0,0,1
327,1219,0,1,0,46.0,0,0,294,79.2,0,0
328,1220,0,2,0,29.0,1,0,295,26.0,0,1
329,1221,0,2,0,21.0,0,0,296,13.0,0,1
330,1222,1,2,1,48.0,0,2,165,36.75,0,1
331,1223,0,1,0,39.0,0,0,297,29.7,0,0
332,1224,0,3,0,27.0,0,0,298,7.225,0,0
333,1225,1,3,1,19.0,1,1,299,15.7417,0,0
334,1226,0,3,0,27.0,0,0,300,7.8958,0,1
335,1227,0,1,0,30.0,0,0,301,26.0,0,1
336,1228,0,2,0,32.0,0,0,302,13.0,0,1
337,1229,0,3,0,39.0,0,2,303,7.2292,0,0
338,1230,0,2,0,25.0,0,0,31,31.5,0,1
339,1231,0,3,0,27.0,0,0,304,7.2292,0,0
340,1232,0,2,0,18.0,0,0,305,10.5,0,1
341,1233,0,3,0,32.0,0,0,306,7.5792,0,1
342,1234,0,3,0,27.0,1,9,175,69.55,0,1
343,1235,1,1,1,58.0,0,1,307,512.3292,0,0
344,1236,0,3,0,27.0,1,1,179,14.5,0,1
345,1237,1,3,1,16.0,0,0,308,7.65,0,1
346,1238,0,2,0,26.0,0,0,309,13.0,0,1
347,1239,1,3,1,38.0,0,0,310,7.2292,0,0
348,1240,0,2,0,24.0,0,0,311,13.5,0,1
349,1241,1,2,1,31.0,0,0,312,21.0,0,1
350,1242,1,1,1,45.0,0,1,313,63.3583,0,0
351,1243,0,2,0,25.0,0,0,314,10.5,0,1
352,1244,0,2,0,18.0,0,0,198,73.5,0,1
353,1245,0,2,0,49.0,1,2,214,65.0,0,1
354,1246,1,3,1,0.17,1,2,32,20.575,0,1
355,1247,0,1,0,50.0,0,0,315,26.0,0,1
356,1248,1,1,1,59.0,2,0,316,51.4792,0,1
357,1249,0,3,0,27.0,0,0,317,7.8792,0,1
358,1250,0,3,0,27.0,0,0,318,7.75,1,0
359,1251,1,3,1,30.0,1,0,319,15.55,0,1
360,1252,0,3,0,14.5,8,2,175,69.55,0,1
361,1253,1,2,1,24.0,1,1,320,37.0042,0,0
362,1254,1,2,1,31.0,0,0,253,21.0,0,1
363,1255,0,3,0,27.0,0,0,321,8.6625,0,1
364,1256,1,1,1,25.0,1,0,322,55.4417,0,0
365,1257,1,3,1,27.0,1,9,175,69.55,0,1
366,1258,0,3,0,27.0,1,0,323,14.4583,0,0
367,1259,1,3,1,22.0,0,0,324,39.6875,0,1
368,1260,1,1,1,45.0,0,1,325,59.4,0,0
369,1261,0,2,0,29.0,0,0,326,13.8583,0,0
370,1262,0,2,0,21.0,1,0,327,11.5,0,1
371,1263,1,1,1,31.0,0,0,183,134.5,0,0
372,1264,0,1,0,49.0,0,0,328,0.0,0,1
373,1265,0,2,0,44.0,0,0,329,13.0,0,1
374,1266,1,1,1,54.0,1,1,265,81.8583,0,1
375,1267,1,1,1,45.0,0,0,24,262.375,0,0
376,1268,1,3,1,22.0,2,0,330,8.6625,0,1
377,1269,0,2,0,21.0,0,0,331,11.5,0,1
378,1270,0,1,0,55.0,0,0,332,50.0,0,1
379,1271,0,3,0,5.0,4,2,146,31.3875,0,1
380,1272,0,3,0,27.0,0,0,333,7.75,1,0
381,1273,0,3,0,26.0,0,0,334,7.8792,1,0
382,1274,1,3,1,27.0,0,0,335,14.5,0,1
383,1275,1,3,1,19.0,1,0,336,16.1,0,1
384,1276,0,2,0,27.0,0,0,337,12.875,0,1
385,1277,1,2,1,24.0,1,2,214,65.0,0,1
386,1278,0,3,0,24.0,0,0,338,7.775,0,1
387,1279,0,2,0,57.0,0,0,339,13.0,0,1
388,1280,0,3,0,21.0,0,0,340,7.75,1,0
389,1281,0,3,0,6.0,3,1,341,21.075,0,1
390,1282,0,1,0,23.0,0,0,277,93.5,0,1
391,1283,1,1,1,51.0,0,1,342,39.4,0,1
392,1284,0,3,0,13.0,0,2,343,20.25,0,1
393,1285,0,2,0,47.0,0,0,344,10.5,0,1
394,1286,0,3,0,29.0,3,1,156,22.025,0,1
395,1287,1,1,1,18.0,1,0,50,60.0,0,1
396,1288,0,3,0,24.0,0,0,345,7.25,1,0
397,1289,1,1,1,48.0,1,1,346,79.2,0,0
398,1290,0,3,0,22.0,0,0,347,7.775,0,1
399,1291,0,3,0,31.0,0,0,348,7.7333,1,0
400,1292,1,1,1,30.0,0,0,202,164.8667,0,1
401,1293,0,2,0,38.0,1,0,349,21.0,0,1
402,1294,1,1,1,22.0,0,1,325,59.4,0,0
403,1295,0,1,0,17.0,0,0,350,47.1,0,1
404,1296,0,1,0,43.0,1,0,351,27.7208,0,0
405,1297,0,2,0,20.0,0,0,352,13.8625,0,0
406,1298,0,2,0,23.0,1,0,353,10.5,0,1
407,1299,0,1,0,50.0,1,1,71,211.5,0,0
408,1300,1,3,1,27.0,0,0,354,7.7208,1,0
409,1301,1,3,1,3.0,1,1,150,13.775,0,1
410,1302,1,3,1,27.0,0,0,355,7.75,1,0
411,1303,1,1,1,37.0,1,0,356,90.0,1,0
412,1304,1,3,1,28.0,0,0,357,7.775,0,1
413,1305,0,3,0,27.0,0,0,358,8.05,0,1
414,1306,1,1,1,39.0,0,0,359,108.9,0,0
415,1307,0,3,0,38.5,0,0,360,7.25,0,1
416,1308,0,3,0,27.0,0,0,361,8.05,0,1
417,1309,0,3,0,27.0,1,1,362,22.3583,0,0
